timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
420742,-2796,0,30991,0,-1350
420743,-2796,0,30991,0,-1350
420744,-2796,0,30959,-3146,8183
420745,-2796,-59,30959,0,-1925
420746,-2797,-60,30959,0,-1927
420747,-2796,60,30959,0,-587
420748,-2796,0,30959,0,-1256
420749,-2797,-60,30991,3146,-11461
420750,-2797,0,30991,0,-1353
420751,-2796,60,30991,0,-682
420752,-2797,-60,30991,0,-2022
420753,-2797,0,30991,0,-1353
420754,-2797,0,30991,0,-1353
420755,-2797,0,30959,-3146,8180
420756,-2797,-59,30959,0,-1928
420757,-2797,0,30959,0,-1259
420758,-2797,0,30959,0,-1259
420759,-2797,0,30959,0,-1259
420760,-2798,-59,30991,3146,-11464
420761,-2798,0,30991,0,-1356
420762,-2797,59,30991,0,-686
420763,-2799,-120,30991,0,-2696
420764,-2799,0,30991,0,-1358
420765,-2798,60,30991,0,-687
420766,-2799,-60,30959,-3146,7507
420767,-2799,-59,30959,0,-1932
420768,-2799,0,30959,0,-1264
420769,-2799,59,30959,0,-593
420770,-2799,-59,30959,0,-1932
420771,-2799,0,30991,3146,-10798
420772,-2799,0,30991,0,-1359
420773,-2799,0,30991,0,-1359
420774,-2799,0,30991,0,-1359
420775,-2800,-60,30991,0,-2030
420776,-2800,0,30991,0,-1361
420777,-2800,0,30959,-3146,8173
420778,-2800,-59,30959,0,-1935
420779,-2800,0,30959,0,-1267
420780,-2800,59,30959,0,-596
420781,-2800,0,30959,0,-1265
420782,-2800,-59,30959,0,-1935
420783,-2800,0,30991,3146,-10801
420784,-2800,59,30991,0,-692
420785,-2800,0,30991,0,-1361
420586,-2720,-120,30865,0,-2116
420587,-2721,-59,30865,0,-1449
420588,-2721,-59,30896,3146,-10985
420589,-2722,-119,30896,0,-2218
420590,-2723,-60,30896,0,-1550
420591,-2724,-119,30896,0,-2222
420592,-2725,-120,30896,0,-2225
420593,-2726,-59,30865,-3146,7976
420594,-2727,-60,30865,0,-1464
420595,-2728,-119,30865,0,-2136
420596,-2728,-60,30865,0,-1468
420597,-2729,-59,30865,0,-1469
420598,-2730,-120,30896,3146,-11676
420599,-2731,-59,30896,0,-1570
420600,-2731,-60,30896,0,-1572
420601,-2733,-119,30896,0,-2243
420602,-2734,-119,30896,0,-2246
420603,-2734,-60,30896,0,-1579
420604,-2735,-59,30865,-3146,7953
420605,-2736,-120,30865,0,-2157
420606,-2737,-119,30865,0,-2160
420607,-2737,0,30865,0,-822
420608,-2738,-60,30896,3146,-11027
420609,-2739,-119,30896,0,-2260
420610,-2740,-119,30896,0,-2263
420611,-2741,-60,30928,3146,-11130
420612,-2742,-59,30928,0,-1692
420613,-2743,-120,30896,-3146,7169
420614,-2744,-119,30896,0,-2272
420615,-2745,-119,30896,0,-2275
420616,-2746,-60,30896,0,-1608
420617,-2746,-59,30896,0,-1609
420618,-2748,-180,30896,0,-2952
420619,-2749,-120,30896,0,-2286
420620,-2750,-59,30896,0,-1618
420621,-2751,-59,30896,0,-1619
420622,-2751,-60,30896,0,-1621
420623,-2752,-119,30896,0,-2293
420624,-2753,-59,30896,0,-1625
420625,-2754,-120,30896,0,-2298
420626,-2755,-119,30896,0,-2300
420627,-2756,-60,30896,0,-1633
420628,-2757,-59,30896,0,-1634
420629,-2758,-120,30865,-3146,7227
420630,-2758,-59,30896,3146,-11078
420631,-2758,0,30896,0,-970
420632,-2759,-60,30896,0,-1641
420633,-2760,-119,30896,0,-2312
420634,-2761,-60,30896,0,-1645
420635,-2761,0,30896,0,-976
420636,-2761,-59,30896,0,-1646
420637,-2762,-59,30896,0,-1648
420638,-2763,-119,30896,0,-2320
420639,-2764,-60,30896,0,-1653
420640,-2764,0,30896,0,-984
420641,-2764,-59,30896,0,-1654
420642,-2765,-59,30896,0,-1655
420643,-2766,-60,30896,0,-1657
420644,-2766,0,30896,0,-988
420645,-2766,-59,30896,0,-1659
420646,-2766,0,30928,3146,-10524
420647,-2767,-59,30928,0,-1756
420648,-2767,0,30928,0,-1087
420649,-2767,-60,30928,0,-1757
420650,-2768,-59,30928,0,-1759
420651,-2768,0,30928,0,-1090
420652,-2768,0,30896,-3146,8444
420653,-2769,-120,30896,0,-2335
420654,-2770,-59,30896,0,-1667
420655,-2770,0,30928,3146,-10533
420656,-2770,0,30928,0,-1094
420657,-2770,-60,30928,0,-1765
420658,-2771,-119,30928,0,-2437
420659,-2771,0,30928,0,-1099
420660,-2771,59,30928,0,-428
420661,-2771,-59,30928,0,-1768
420662,-2772,-60,30928,0,-1769
420663,-2773,-59,30928,0,-1771
420664,-2773,-59,30928,0,-1772
420665,-2773,0,30928,0,-1103
420666,-2774,-60,30928,0,-1774
420667,-2774,0,30928,0,-1105
420668,-2774,-59,30928,0,-1775
420669,-2774,0,30928,0,-1106
420670,-2774,0,30959,3146,-10641
420671,-2775,-60,30959,0,-1873
420672,-2776,-60,30959,0,-1874
420673,-2776,-59,30959,0,-1875
420674,-2776,0,30959,0,-1206
420675,-2776,0,30928,-3146,8327
420676,-2776,0,30928,0,-1111
420677,-2777,-60,30928,0,-1782
420678,-2778,-59,30928,0,-1783
420679,-2778,0,30959,3146,-10648
420680,-2778,0,30959,0,-1209
420681,-2778,-59,30959,0,-1880
420682,-2779,-60,30959,0,-1882
420683,-2779,-59,30959,0,-1883
420684,-2779,59,30959,0,-543
420685,-2779,0,30959,0,-1212
420686,-2779,-59,30959,0,-1883
420687,-2780,-59,30928,-3146,7649
420688,-2781,-60,30959,3146,-11325
420689,-2781,0,30959,0,-1217
420690,-2781,-59,30959,0,-1887
420691,-2782,-60,30959,0,-1889
420692,-2782,-59,30991,3146,-11425
420693,-2782,59,30991,0,-647
420694,-2782,-59,30959,-3146,7548
