timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
16925,-2839,-180,30676,0,-2519
16930,-2844,-119,30645,0,-1767
16935,-2850,-119,30708,0,-1974
16940,-2857,-180,30645,0,-2468
16945,-2864,-180,30708,0,-2678
16950,-2870,-120,30645,-3146,7604
16955,-2878,-240,30708,0,-3383
16960,-2886,-180,30676,0,-2638
16965,-2894,-180,30676,0,-2657
16970,-2902,-180,30645,-3146,6855
16975,-2910,-179,30645,0,-2602
16980,-2918,-239,30676,0,-3386
16985,-2925,-180,30613,-3146,6895
16990,-2932,-180,30676,3146,-12191
16995,-2938,-59,30613,0,-1238
17000,-2945,-179,30645,0,-2691
17005,-2953,-180,30613,0,-2613
17010,-2959,-119,30613,0,-1961
17015,-2965,-120,30613,0,-1975
17020,-2969,-59,30613,0,-1316
17025,-2973,-60,30613,0,-1327
17030,-2976,0,30613,0,-665
17035,-2979,-59,30613,0,-1342
17040,-2981,0,30645,0,-774
17045,-2983,0,30613,0,-682
17050,-2985,0,30645,0,-782
17055,-2986,0,30645,0,-785
17060,-2988,-120,30676,0,-2223
17065,-2989,0,30645,0,-792
17070,-2990,-59,30676,0,-1560
17075,-2990,0,30676,0,-892
17080,-2991,0,30676,0,-894
17085,-2992,0,30708,0,-991
17090,-2992,-59,30708,0,-1661
17095,-2992,0,30708,0,-992
17100,-2992,59,30708,0,-324
17105,-2992,59,30739,3146,-9857
17110,-2992,0,30739,0,-1087
17115,-2992,0,30739,0,-1087
17120,-2991,0,30739,0,-1085
17125,-2991,0,30739,0,-1085
17130,-2990,0,30739,0,-1084
17135,-2990,0,30770,0,-1179
17140,-2990,0,30739,0,-1082
17145,-2990,0,30770,0,-1179
17150,-2990,60,30739,0,-414
17155,-2991,-60,30770,0,-1850
17160,-2991,-60,30739,0,-1754
17165,-2991,0,30770,0,-1181
17170,-2990,60,30739,0,-414
17175,-2990,59,30770,0,-509
17180,-2990,0,30739,0,-1082
17185,-2989,0,30739,0,-1081
17190,-2989,0,30739,0,-1081
17195,-2988,59,30739,0,-409
17200,-2988,59,30739,0,-407
17205,-2987,60,30739,3146,-9844
17210,-2986,59,30739,0,-404
17215,-2986,59,30708,0,-307
17220,-2986,59,30708,0,-307
17225,-2985,59,30708,0,-304
17230,-2984,0,30708,0,-971
17235,-2983,0,30708,0,-970
17240,-2983,59,30676,0,-204
17245,-2982,0,30676,0,-871
17250,-2981,59,30676,0,-199
17255,-2980,0,30645,0,-770
17260,-2979,0,30645,0,-768
17265,-2978,0,30645,0,-765
17270,-2977,0,30613,-3146,8770
17275,-2976,0,30613,0,-665
17280,-2975,0,30582,-3146,8871
17285,-2974,0,30582,0,-564
17290,-2972,0,30582,0,-559
17295,-2971,60,30550,0,208
17300,-2969,60,30550,0,212
17305,-2967,59,30519,0,312
17310,-2965,59,30519,0,317
17315,-2963,59,30487,0,417
17320,-2962,0,30487,0,-248
17325,-2961,0,30456,-3146,9290
17330,-2959,0,30456,0,-144
17335,-2957,59,30424,0,624
17340,-2955,59,30393,-3146,10163
17345,-2953,0,30393,0,62
17350,-2951,0,30361,0,162
17355,-2948,60,30361,0,839
17360,-2945,119,30330,0,1610
17365,-2943,59,30298,0,1043
17370,-2939,60,30267,-3146,10585
17375,-2937,0,30267,0,483
17380,-2935,0,30236,0,585
17385,-2931,119,30204,0,2029
17390,-2927,119,30173,-3146,11572
17395,-2923,60,30173,0,1474
17400,-2919,59,30141,0,1580
17405,-2914,119,30110,0,2356
17410,-2909,59,30110,0,1699
17415,-2903,120,30078,0,2481
17420,-2898,119,30047,0,2589
17425,-2891,119,30047,0,2606
17430,-2884,119,30015,0,2720
17435,-2876,120,29984,-3146,12274
17440,-2868,119,29984,0,2854
17445,-2859,180,29952,0,3642
17450,-2850,239,29952,0,4335
17455,-2838,239,29921,-3146,13898
17460,-2826,239,29921,0,4489
17465,-2813,239,29921,0,4522
17470,-2797,300,29921,0,5230
17475,-2781,300,29952,0,5175
17480,-2763,479,29952,3146,-2211
17485,-2744,479,29984,0,7178
17490,-2725,479,29984,3146,-2210
17495,-2703,479,30015,0,7187
17500,-2680,479,30015,0,7244
17505,-2656,539,30078,3146,-1656
17510,-2632,539,30078,0,7844
17515,-2606,539,30141,3146,-1721
17520,-2578,600,30173,0,8360
17525,-2551,600,30204,0,8334
17530,-2523,539,30267,3146,-1894
17535,-2494,540,30298,0,7521
17540,-2463,660,30330,0,8840
17545,-2433,660,30393,3146,-712
17550,-2400,720,30456,3146,-153
17555,-2368,660,30487,0,8600
17560,-2337,659,30550,3146,-950
17565,-2304,659,30582,0,8475
17570,-2271,599,30645,0,7697
17575,-2237,720,30708,3146,-509
17580,-2203,780,30770,3146,54
17585,-2169,720,30802,0,8813
17590,-2135,660,30865,0,8038
17595,-2101,660,30928,0,7933
17600,-2065,720,30991,3146,-938
17605,-2031,719,31022,0,8491
17610,-1995,719,31085,0,8389
17615,-1959,720,31148,0,8288
17620,-1923,780,31211,0,8856
17625,-1887,720,31274,0,8086
17630,-1850,780,31337,3146,-782
17635,-1814,780,31400,3146,-882
17640,-1778,719,31463,3146,-1651
17645,-1741,780,31526,3146,-1082
17650,-1705,780,31588,3146,-1181
17655,-1669,720,31651,3146,-1952
17660,-1634,719,31714,3146,-2055
17665,-1599,660,31746,0,6706
17670,-1564,719,31809,0,7272
17675,-1530,659,31872,3146,-2940
17680,-1496,599,31903,0,5818
17685,-1462,659,31966,0,6381
17690,-1429,660,32029,3146,-3165
17695,-1396,659,32060,0,6258
17700,-1365,599,32092,0,5572
17705,-1334,660,32155,0,6128
17710,-1304,600,32186,0,5438
17715,-1276,599,32218,0,5414
17720,-1248,600,32249,0,5388
17725,-1221,599,32281,0,5361
17730,-1195,599,32312,0,5331
17735,-1170,480,32344,0,3959
17740,-1146,479,32344,0,4019
17745,-1123,480,32375,0,3981
17750,-1102,419,32375,0,3366
17755,-1081,419,32375,0,3417
17760,-1062,359,32375,0,2796
17765,-1043,419,32375,0,3513
17770,-1025,419,32375,0,3558
17775,-1008,359,32375,0,2931
17780,-992,300,32375,0,2302
17785,-977,299,32375,0,2341
17790,-962,299,32344,0,2472
17795,-949,299,32344,0,2507
17800,-935,300,32312,0,2637
16805,-2618,-360,30550,0,-3590
16810,-2634,-359,30550,0,-3630
16815,-2650,-359,30519,0,-3575
16820,-2665,-299,30519,0,-2944
16825,-2680,-299,30487,0,-2884
16830,-2693,-239,30487,0,-2248
16835,-2706,-239,30487,0,-2280
16840,-2717,-239,30487,0,-2310
16845,-2728,-239,30487,0,-2337
16850,-2738,-239,30487,0,-2362
16855,-2748,-180,30487,0,-1716
16860,-2756,-179,30487,0,-1737
16865,-2764,-180,30519,0,-1853
16870,-2771,-180,30519,0,-1871
16875,-2778,-180,30550,0,-1984
16880,-2785,-179,30550,0,-2002
16885,-2792,-119,30582,3146,-10884
16890,-2798,-59,30582,0,-793
16895,-2805,-120,30582,0,-1479
16900,-2810,-119,30613,0,-1588
16905,-2816,-180,30613,0,-2272
16910,-2821,-59,30645,0,-1041
16915,-2827,-180,30645,0,-2395
16920,-2833,-179,30645,0,-2408
