timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
144097,-523,180,32407,0,2037
144098,-521,239,32407,0,2712
144099,-518,240,32407,0,2718
144100,-517,179,32407,0,2053
144101,-514,239,32407,0,2728
144102,-512,240,32407,0,2734
144103,-510,179,32375,-3146,11604
144104,-508,240,32375,0,2840
144105,-505,239,32375,0,2846
144106,-503,240,32375,0,2852
144107,-501,179,32375,0,2188
144108,-499,240,32375,0,2863
144109,-496,239,32375,0,2869
144110,-494,240,32375,0,2875
144111,-492,179,32375,0,2210
144112,-490,240,32375,0,2885
144113,-487,239,32375,0,2891
144114,-485,240,32375,0,2898
144115,-483,179,32375,0,2233
144116,-481,240,32375,0,2908
144117,-479,179,32375,0,2244
144118,-477,239,32375,0,2919
144119,-475,180,32375,0,2254
144120,-473,179,32375,0,2259
144121,-471,180,32375,0,2263
144122,-469,239,32375,0,2938
144123,-467,180,32344,-3146,11808
144124,-465,179,32344,0,2374
144125,-463,239,32344,0,3049
144126,-460,240,32344,0,3055
144127,-459,119,32344,0,1720
144128,-457,240,32344,0,3064
144129,-454,239,32344,0,3070
144130,-452,180,32344,0,2405
144131,-450,239,32344,0,3080
144132,-448,179,32344,0,2416
144133,-446,180,32344,0,2420
144134,-445,179,32344,0,2425
144135,-443,180,32312,-3146,11964
144136,-440,239,32312,0,3200
144137,-439,179,32312,0,2536
144138,-436,240,32312,0,3211
144139,-435,179,32312,0,2546
144140,-433,180,32312,0,2551
144141,-430,239,32312,0,3226
144142,-428,180,32312,0,2561
144143,-427,179,32312,0,2566
144144,-424,240,32312,0,3241
144145,-422,179,32312,0,2576
144146,-421,179,32312,0,2581
144147,-419,180,32312,0,2585
144148,-416,239,32312,0,3260
144149,-415,180,32312,0,2596
144150,-413,179,32312,0,2600
144151,-411,179,32312,0,2605
144152,-409,180,32312,0,2609
144153,-407,239,32312,0,3284
144154,-405,180,32312,0,2620
144155,-403,179,32281,-3146,12159
144156,-402,179,32281,0,2724
144157,-400,180,32281,0,2729
144158,-397,239,32281,0,3404
144159,-395,180,32281,0,2739
144160,-394,179,32281,0,2744
144161,-392,179,32281,0,2748
144162,-389,240,32281,0,3424
144163,-388,179,32281,0,2759
144164,-386,179,32281,0,2764
144165,-383,240,32281,0,3439
144166,-382,179,32281,0,2774
144167,-380,179,32281,0,2779
144168,-378,179,32281,0,2783
144169,-376,239,32281,0,3458
144170,-374,180,32281,0,2794
144171,-372,179,32281,0,2798
144172,-370,179,32281,0,2803
144173,-368,239,32281,0,3478
144174,-366,179,32281,0,2813
144175,-365,120,32281,0,2147
144176,-362,239,32281,0,3491
144177,-361,119,32249,-3146,11691
144178,-359,179,32249,0,2925
144179,-357,239,32249,0,3600
144180,-355,240,32249,0,3606
144181,-353,119,32249,0,2271
144182,-352,179,32281,3146,-6589
144183,-349,239,32281,0,3524
144184,-348,179,32281,0,2860
144185,-346,180,32281,0,2864
144186,-343,239,32249,-3146,13074
144187,-341,179,32249,0,2970
144188,-340,179,32249,0,2975
144189,-337,239,32249,0,3650
144190,-335,240,32249,0,3656
144191,-334,119,32249,0,2321
144192,-331,239,32249,0,3665
144193,-329,239,32249,0,3671
144194,-326,240,32281,3146,-5856
144195,-325,179,32281,0,2917
144196,-323,179,32249,-3146,12456
144197,-321,179,32249,0,3022
144198,-319,239,32249,0,3697
144199,-316,300,32249,0,4373
144200,-314,179,32249,0,3040
144201,-312,179,32249,0,3044
144202,-310,239,32249,0,3719
144203,-307,240,32281,3146,-5808
144204,-305,239,32281,0,3636
144205,-303,239,32281,0,3642
144206,-300,239,32281,0,3648
144207,-298,240,32281,0,3654
144208,-295,239,32281,0,3660
144209,-294,179,32281,0,2995
144210,-291,239,32249,-3146,13205
144211,-289,240,32281,3146,-5762
144212,-286,239,32281,0,3682
144213,-284,239,32281,0,3688
144214,-282,179,32281,0,3024
144215,-279,300,32281,0,4369
144216,-277,239,32281,0,3706
144217,-274,239,32281,0,3712
144218,-272,239,32281,0,3718
144219,-269,240,32281,0,3725
144220,-267,239,32281,0,3731
144221,-265,239,32281,0,3737
144222,-262,239,32312,3146,-5791
144223,-260,180,32312,0,2983
144224,-258,239,32312,0,3657
144225,-256,239,32312,0,3664
144226,-253,239,32312,0,3670
144227,-251,240,32312,0,3676
144228,-249,179,32312,0,3011
144229,-247,239,32312,0,3686
144230,-244,239,32312,0,3692
144231,-242,240,32312,0,3698
144232,-240,179,32312,0,3034
144233,-238,239,32312,0,3709
144234,-235,239,32312,0,3715
144235,-234,179,32312,0,3050
144236,-231,240,32312,0,3725
144237,-229,239,32312,0,3731
144238,-227,179,32312,0,3067
144239,-224,299,32312,0,4412
144240,-221,240,32312,0,3749
144241,-220,179,32344,3146,-6449
144242,-217,239,32344,0,3664
144243,-216,179,32344,0,3000
144244,-213,240,32344,0,3675
144245,-211,239,32344,0,3681
144246,-209,119,32344,0,2346
144247,-207,239,32344,0,3690
144248,-205,240,32344,0,3696
144249,-202,239,32344,0,3702
144250,-200,179,32344,0,3037
144251,-198,239,32344,0,3712
144252,-196,179,32344,0,3048
144253,-194,240,32344,0,3723
144254,-192,179,32344,0,3058
