timestamp,x,xdot,theta,thetadot,u,x_hat_0,x_hat_1,x_hat_2,x_hat_3,trace_P,trace_Kf
20.863,-0.2782,0,3.0802,0,-0.753,-0.2782,0.000291749,3.07932,0.0926372,0.00312965,0.869348
20.864,-0.2782,0.059,3.0802,0,-0.082,-0.278177,0.0177465,3.07691,0.185292,0.00258241,0.717336
20.865,-0.2782,0,3.0802,0,-0.751,-0.278152,0.0221745,3.07329,0.253261,0.00220888,0.613579
20.866,-0.2782,0,3.0802,0,-0.751,-0.278114,0.029244,3.06864,0.315598,0.00193953,0.538758
20.867,-0.2782,0,3.0802,0,-0.751,-0.278061,0.0382786,3.06315,0.373101,0.00173749,0.482635
20.868,-0.2782,0,3.0802,0,-0.751,-0.27799,0.0487637,3.05696,0.426218,0.00158138,0.439273
20.869,-0.2781,0.06,3.0802,0,-0.08,-0.277867,0.0695629,3.05005,0.489158,0.00145795,0.404986
20.87,-0.2781,0.059,3.0802,0,-0.079,-0.277724,0.0901183,3.04247,0.546208,0.00135853,0.377368
20.871,-0.2781,-0.059,3.0802,0,-1.418,-0.277606,0.0936846,3.03469,0.569599,0.00127721,0.35478
20.872,-0.2781,0,3.0802,0,-0.75,-0.277456,0.106069,3.02686,0.606181,0.00120984,0.336067
20.873,-0.2781,0,3.077,-3.146,8.784,-0.276561,0.283618,2.95924,0.533162,0.00115343,0.320397
20.874,-0.2781,0.059,3.077,0,0.015,-0.276342,0.288136,2.95681,0.579721,0.00110574,0.307151
20.875,-0.2781,0,3.077,0,-0.652,-0.276135,0.286517,2.95364,0.607726,0.00106511,0.295863
20.876,-0.278,0.06,3.077,0,0.017,-0.275896,0.293288,2.94995,0.648311,0.00103023,0.286175
20.877,-0.278,0,3.077,0,-0.651,-0.27567,0.29355,2.94579,0.670575,0.00100011,0.277809
20.878,-0.278,0,3.077,0,-0.651,-0.275443,0.29438,2.94144,0.691245,0.000973964,0.270545
20.879,-0.278,0,3.077,0,-0.651,-0.275215,0.295607,2.93698,0.710399,0.000951151,0.264209
20.88,-0.2779,0.06,3.077,0,0.019,-0.274961,0.303908,2.9324,0.74295,0.000931166,0.258657
20.881,-0.2779,0,3.077,0,-0.649,-0.274722,0.305533,2.92762,0.757511,0.000913594,0.253776
20.882,-0.2779,0,3.077,0,-0.649,-0.274486,0.307205,2.92289,0.771013,0.000898095,0.249471
20.883,-0.2779,0,3.077,0,-0.649,-0.274253,0.308875,2.91825,0.783531,0.000884388,0.245663
20.884,-0.2779,0,3.077,0,-0.649,-0.274024,0.310509,2.91369,0.795142,0.000872237,0.242288
20.885,-0.2779,0.059,3.077,0,0.02,-0.27378,0.318549,2.90919,0.820977,0.000861445,0.23929
